vehicle_id,Curb_Weight,year
21318,1484.0,2013
21319,1238.0,2013
21320,1238.0,2013
21321,1510.0,2013
21322,1265.0,2013
21324,1287.0,2013
21325,1291.0,2013
21326,1296.0,2013
21327,1301.0,2013
21328,1499.0,2013
21332,1517.0,2013
21333,1620.0,2013
21334,1475.0,2013
21335,1475.0,2013
21336,1215.0,2013
21337,1774.060748138467,2013
21338,1505.0,2013
21340,1505.0,2013
21345,1465.0,2013
21347,1206.0,2013
21349,1451.0,2013
21350,1209.0,2013
21351,1405.0,2013
21352,1447.0,2013
21354,1450.0,2013
21355,1480.0,2013
21356,1422.0,2013
21357,1629.0,2013
21358,1060.0,2013
21359,1629.0,2013
21364,1422.0,2013
21365,1495.0,2013
21366,2256.0,2013
21369,1637.0,2013
21371,1480.0,2013
21372,1029.0,2013
21373,1422.0,2013
21375,1610.0,2013
21376,2143.0,2013
21387,1585.0,2013
21390,1151.0,2013
21391,1151.0,2013
21393,1460.0,2013
21396,1422.0,2013
21397,2170.0,2013
21399,2137.0,2013
21402,1495.0,2013
21403,1765.0,2013
21406,1493.0,2013
21407,2455.0,2013
21408,1495.0,2013
21410,1708.0,2013
21411,1693.0,2013
21416,1250.0,2013
21418,1480.0,2013
21421,1760.0,2013
21422,2400.0,2013
21423,1640.0,2013
21428,1619.0,2013
21430,1766.0,2013
21431,1766.0,2013
21441,2370.0,2013
21444,1490.0,2013
21446,1794.0,2013
21447,2380.0,2013
21448,1835.0,2013
21451,1653.0,2013
21453,1850.0,2013
21457,1523.0,2013
21463,2125.0,2013
21466,2085.0,2013
21471,1890.0,2013
21472,1653.0,2013
21473,2070.0,2013
21477,1750.0,2013
21478,1169.0,2013
21480,1169.0,2013
21481,1428.0,2013
21482,1465.0,2013
21489,2045.0,2013
21492,1528.0,2013
21494,2170.0,2013
21497,1780.0,2013
21499,1563.0,2013
21500,2055.0,2013
21506,1670.0,2013
21507,1670.0,2013
21521,1301.0,2013
21522,1305.0,2013
21524,1595.0,2013
21527,1820.0,2013
21528,1845.0,2013
21532,1569.0,2013
21535,2025.0,2013
21541,1407.0,2013
21542,1995.0,2013
21543,1995.0,2013
21549,1477.0,2013
21550,1675.0,2013
21551,1300.0,2013
21553,1750.0,2013
21560,1747.0,2013
21561,2622.0,2013
21565,1277.0,2013
21568,1690.0,2013
21569,1765.0,2013
21570,1633.0,2013
21571,2028.0,2013
21572,1295.0,2013
21574,2715.0,2013
21575,1292.0,2013
21576,2264.731834496141,2013
21584,1544.0,2013
21585,1515.0,2013
21586,2830.0,2013
21587,1937.0,2013
21589,2047.0,2013
21593,2736.0,2013
21595,1630.0,2013
21596,1541.0,2013
21597,1541.0,2013
21598,1445.0,2013
21599,2722.0,2013
21600,1445.0,2013
21603,1518.0,2013
21606,1683.0,2013
21607,1835.0,2013
21608,1835.0,2013
21609,1508.0,2013
21610,1744.0,2013
21612,1835.0,2013
21613,1715.0,2013
21615,1806.0,2013
21616,1477.0,2013
21617,1460.0,2013
21618,2106.0,2013
21620,2757.0,2013
21623,2248.0,2013
21624,1502.0,2013
21625,1497.0,2013
21627,2722.0,2013
21629,1425.0,2013
21630,1688.0,2013
21631,1937.0,2013
21632,2010.0,2013
21633,2047.0,2013
21635,1594.0,2013
21637,1511.0,2013
21638,1688.0,2013
21641,1511.0,2013
21642,1461.0,2013
21645,1508.0,2013
21648,1589.0,2013
21652,1623.0,2013
21655,2133.0,2013
21657,1295.0,2013
21658,1568.0,2013
21659,2195.0,2013
21665,1505.0,2013
21667,2216.0,2013
21668,1589.0,2013
21670,1570.0,2013
21671,1551.0,2013
21673,1334.0,2013
21675,1565.0,2013
21676,2225.0,2013
21677,2195.0,2013
21678,2229.0,2013
21681,1456.0,2013
21683,1456.0,2013
21689,1644.0,2013
21690,2262.0,2013
21693,2131.0,2013
21694,2312.0,2013
21696,1380.0,2013
21698,1750.0,2013
21700,1976.0,2013
21701,2200.0,2013
21702,2200.0,2013
21703,2200.0,2013
21704,1588.0,2013
21705,1928.0,2013
21706,1928.0,2013
21707,1797.0,2013
21712,1817.0,2013
21713,1331.0,2013
21714,1588.0,2013
21715,1977.0,2013
21717,1380.0,2013
21718,1557.0,2013
21721,2009.0,2013
21723,2089.0,2013
21731,2215.0,2013
21732,1331.0,2013
21733,1716.4114862341253,2013
21734,2048.0,2013
21735,2048.0,2013
21737,1911.0,2013
21738,1785.0,2013
21740,1739.0,2013
21741,1904.963888888889,2013
21744,1380.0,2013
21748,1154.0,2013
21755,2215.0,2013
21756,1656.0,2013
21757,2215.0,2013
21759,2215.0,2013
21762,2157.0,2013
21765,1784.0,2013
21766,1736.0,2013
21768,1542.0,2013
21772,1622.0,2013
21777,2423.0,2013
21778,2423.0,2013
21780,2423.0,2013
21781,1636.0,2013
21783,1960.0,2013
21791,1813.0,2013
21794,1806.0,2013
21797,2392.0,2013
21801,2627.0,2013
21809,1735.0,2013
21813,1636.0,2013
21814,2023.0,2013
21815,2528.0,2013
21824,1600.0,2013
21831,2489.0,2013
21832,2392.0,2013
21833,2392.0,2013
21835,1880.0,2013
21857,1610.0,2013
21860,2313.0,2013
21861,1386.0,2013
21862,1386.0,2013
21863,2313.0,2013
21864,2313.0,2013
21867,1882.0,2013
21872,1660.0,2013
21873,2033.0,2013
21874,2248.0,2013
21875,1883.0,2013
21878,1813.0,2013
21879,2385.0,2013
21880,1797.0,2013
21881,1797.0,2013
21885,2143.0,2013
21887,1797.0,2013
21890,1622.0,2013
21892,1878.0,2013
21893,1560.0,2013
21895,1337.0,2013
21896,1817.0,2013
21897,2364.0,2013
21898,1337.0,2013
21899,1540.0,2013
21901,1797.0,2013
21902,1817.0,2013
21903,1999.0,2013
21904,2313.0,2013
21905,1641.0,2013
21909,1343.0,2013
21914,2085.0,2013
21917,1845.0,2013
21923,1343.0,2013
21925,1641.0,2013
21927,1393.0,2013
21930,1393.0,2013
21934,2085.0,2013
21935,1647.0,2013
21936,2085.0,2013
21942,1647.0,2013
21943,1776.0,2013
21947,1768.0,2013
21948,1790.0,2013
21960,1334.0,2013
21962,1814.0,2013
21964,1556.0,2013
21972,2023.0,2013
21977,2023.0,2013
21986,1739.0,2013
21987,1845.0,2013
21989,1694.0,2013
21990,2126.0,2013
21991,1859.0,2013
21992,1694.0,2013
21994,2126.0,2013
