vehicle_id,Curb_Weight,Price_USD,year
1270,1558.293893,32800,2010
1271,1627.201752,34600,2010
1272,1610.606172,31850,2010
1273,1603.757754,33050,2010
1274,1644.977708,33050,2010
1275,1657.094566,24061.70965,2010
1276,1657.31205,24645,2010
1277,1556.729955,23278.46154,2010
1278,1574.307014,24710,2010
1279,1771.957802,26330,2010
1280,1522.280274,24345,2010
1281,1531.667628,23620,2010
1282,1484.126241,31150,2010
1283,1567.608239,32600,2010
1284,1561.556798,32350,2010
1285,1515.442184,22795,2010
1286,1527.812072,26401.85737,2010
1287,1526.392072,28830,2010
1288,1529.218271,21599,2010
1289,1541.365602,21249,2010
1290,1530.853271,23999,2010
1291,1451.241919,19895,2010
1292,1502.487384,20106.64557,2010
1293,1504.434949,23205,2010
1294,1658.137278,23208.4676,2010
1295,1553.430808,22020.68447,2010
1296,1555.742386,24464.99354,2010
1297,1489.4118,26134.58904,2010
1299,1491.825611,23190.92555,2010
1300,1522.043235,21592.69415,2010
1301,1497.331676,24655,2010
1302,1507.215223,22301.15385,2010
1303,1507.710232,22168.76812,2010
1304,1520.764094,22980,2010
1305,1510.910829,23165,2010
1306,1502.192479,21470,2010
1307,1538.628897,22800,2010
1308,1555.969555,23110,2010
1309,1526.137063,26731.47992,2010
1310,1562.609056,21167.79201,2010
1311,1523.539901,31350,2010
1314,1552.730144,21056.41115,2010
1315,1722,36965,2010
1316,1516.878348,17720.66719,2010
1317,1458.204275,20580,2010
1318,1444.35869,20630,2010
1319,1437.486965,17615,2010
1320,1443.450549,17415,2010
1321,1566.472741,20195,2010
1322,1467.860141,26135,2010
1323,1485.980728,25135,2010
1324,2045.317062,29035,2010
1325,2009.780198,27652.87761,2010
1326,1959.956074,22320,2010
1327,2017.010617,25532.5,2010
1328,2023.694617,26805,2010
1329,2077.030202,36100.23354,2010
1330,2032.787236,30679.51593,2010
1331,1994.312927,21065,2010
1332,2074.170671,35835.51402,2010
1333,1973.834064,29205,2010
1334,2056.530699,34438.06569,2010
1335,1542.511515,17995,2010
1336,2014.092031,27360,2010
1337,1440.183886,16505,2010
1338,1430.527982,17405,2010
1345,2175.561686,64900,2010
1349,1730,42600,2010
1350,1730,43975,2010
1352,1424.043821,20780,2010
1353,1435.492319,24060,2010
1354,1433.876799,24510,2010
1360,1451.419443,16730,2010
1361,1930.870632,27501.41369,2010
1362,2030.206057,32723.9,2010
1363,2085.64325,44200,2010
1364,1497.807556,47780,2010
1365,1488.300503,47500,2010
1366,1509.895053,49450,2010
1367,1484.826184,51900,2010
1368,1521.020386,66650,2010
1369,1557.939288,25699,2010
1370,1306.373106,109000,2010
1371,1654.40128,86215,2010
1372,1720.715349,105215,2010
1373,1777.966727,507500,2010
1375,1058.473986,14165,2010
1376,1223.98198,16548.77256,2010
1377,1230.193816,16330,2010
1378,1315.714034,17838.03547,2010
1379,1327.987941,18272.47976,2010
1382,1380.071763,20660,2010
1385,1671.125971,32828,2010
1386,1542.451223,46540,2010
1387,1445.095584,39675,2010
1388,1410.644304,37200,2010
1389,2171.986464,46195,2010
1390,2219.499095,49200,2010
1391,2266.925047,49150,2010
1392,2161.922258,42100,2010
1393,2163.260246,47650,2010
1394,1716,26150,2010
1395,2570.719,37279.24837,2010
1396,2609.565167,44745,2010
1397,2626.689595,47795,2010
1398,2098.532286,29160,2010
1399,1220.834226,16225,2010
1400,2082.457202,28210,2010
1401,2175.812167,35830,2010
1402,2095.991619,31796.76471,2010
1403,2094.789286,30236.66667,2010
1404,2142.043952,31295,2010
1405,2147.444119,37140,2010
1406,2194.454667,35145,2010
1407,2237.323506,36190,2010
1408,2296.722818,36815.73529,2010
1409,1133.85039,24600,2010
1410,1570.012034,27799,2010
1411,2098.842286,29160,2010
1412,1651.807638,36450,2010
1413,1652.456638,36200,2010
1414,1633.920524,24970,2010
1415,1944.922705,63825,2010
1416,1944.788809,65380,2010
1417,1963.131925,73735,2010
1418,1963.081925,70925,2010
1419,1811.156455,56150,2010
1420,1808.620552,56300,2010
1421,1857.728816,58800,2010
1422,1771.547549,61700,2010
1423,2017.076889,89350,2010
1424,2067.698928,92350,2010
1425,1980.839818,91600,2010
1426,2066.578928,94600,2010
1427,1991.175253,122300,2010
1428,2066.07284,83000,2010
1429,2089.938401,86300,2010
1430,2085.017825,86900,2010
1431,2104.295596,90200,2010
1433,1910.557874,45911,2010
1434,1976.44315,77253.33333,2010
1435,2045.071346,98300,2010
1436,1820.496382,39500,2010
1437,1964.733473,83495,2010
1438,2132.275333,77260,2010
1439,2135.549018,74450,2010
1440,1803.371606,46950,2010
1441,1802.655773,47550,2010
1442,1772.47367,45800,2010
1443,1846.228594,47950,2010
1444,1842.268615,44933.39827,2010
1447,1822.165952,61725.74074,2010
1448,1819.950382,70335,2010
1449,1888.425331,70335,2010
1450,1809.223543,52150,2010
1451,1880.485677,55950,2010
1452,1879.415677,55950,2010
1453,1763.460061,53320,2010
